product_id,related_id
572,1042
572,46082
577,1067
577,13423
577,14231
577,46165
582,602
582,612
582,46040
582,46165
582,46285
587,234
587,367
587,46234
592,427
592,652
592,927
592,1072
592,1117
592,12097
592,12374
592,46001
597,382
597,407
597,667
597,12070
597,45992
597,46348
597,46665
597,47616
597,47647
597,47648
597,47651
597,47652
597,47653
597,47654
597,47655
597,47663
597,47674
597,47704
597,47705
597,47706
597,47707
597,47708
597,47709
597,47710
597,47719
597,47720
597,47721
597,47722
597,47725
597,47731
597,47742
597,47743
597,47744
597,47745
597,47747
597,47749
597,47751
597,47752
597,47758
597,47764
597,47765
597,47766
597,47795
597,47803
602,582
602,612
602,46039
602,46165
602,46286
607,517
607,522
607,527
607,637
607,742
612,582
612,602
612,13423
612,46165
612,46285
612,46286
617,377
617,557
617,13402
617,46126
617,46127
622,357
622,362
622,1072
622,10965
622,46093
622,46367
627,242
627,332
627,46004
627,46501
627,46513
632,517
632,522
632,637
632,642
632,46332
637,527
637,607
637,632
637,642
637,647
637,672
637,1017
637,10418
637,46173
637,46332
637,47694
637,47805
637,48149
642,632
642,637
642,647
642,672
642,972
642,1012
642,1042
642,46000
642,46332
647,637
647,642
647,742
647,972
647,10418
647,46000
652,417
652,422
652,427
652,592
652,12374
659,147
659,272
659,12082
659,13287
659,13940
659,46513
659,48390
659,48395
662,667
662,672
662,817
662,877
662,45992
662,47616
662,47647
662,47648
662,47651
662,47652
662,47653
662,47654
662,47655
662,47663
662,47674
662,47704
662,47705
662,47706
662,47707
662,47708
662,47709
662,47710
662,47719
662,47720
662,47721
662,47722
662,47725
662,47731
662,47742
662,47743
662,47744
662,47745
662,47747
662,47749
662,47751
662,47752
662,47758
662,47764
662,47765
662,47766
662,47795
662,47803
667,597
667,662
667,672
667,877
667,917
667,992
672,637
672,642
672,662
672,667
672,877
677,144
677,297
677,317
677,327
677,12488
677,46488
677,46489
682,222
682,687
682,892
682,972
682,1022
682,46501
687,197
687,312
687,682
687,972
687,1022
692,10993
692,46327
692,46347
692,46641
692,46905
692,48037
697,207
697,217
697,732
697,13892
697,14864
702,207
702,212
702,10993
702,13892
702,46330
707,182
707,727
707,832
707,14671
707,46339
712,772
712,46327
712,46504
712,46641
712,46905
712,48037
717,11986
717,11998
717,46549
717,46905
717,46907
717,48037
722,222
722,1007
722,10449
722,14536
