product_option_value_id,product_option_id,product_id,option_id,option_value_id,quantity,subtract,price,price_prefix,points,points_prefix,weight,weight_prefix
66582,55457,47708,361,74,1000,0,0,+,0,+,1,+
66583,55457,47708,361,73,1000,0,0,+,0,+,1,+
66584,55457,47708,361,72,1000,0,0,+,0,+,1,+
66585,55457,47708,361,71,1000,0,0,+,0,+,1,+
66586,55457,47708,361,78,1000,0,1,+,0,+,1,+
66591,55466,48152,13,155,1000,0,0,+,0,+,2,+
66592,55466,48152,13,62,1000,0,2,+,0,+,1,+
66593,55467,48152,955,107,1000,0,0,+,0,+,0,+
66594,55467,48152,955,106,1000,0,0,+,0,+,0,+
66595,55467,48152,955,116,1000,0,0,+,0,+,0,+
66596,55467,48152,955,124,1000,0,0,+,0,+,0,+
66605,55485,46199,825,103,1000,0,0,+,0,+,0.00000031,+
66606,55486,46199,1085,210,0,0,0,+,0,+,0,+
66607,55486,46199,1085,211,0,0,0,+,0,+,0,+
66639,55516,47720,361,79,1000,0,1,+,0,+,1,+
66640,55516,47720,361,77,1000,0,1,+,0,+,1,+
66641,55516,47720,361,75,1000,0,1,+,0,+,1,+
66642,55516,47720,361,76,1000,0,1,+,0,+,1,+
66643,55516,47720,361,74,1000,0,0,+,0,+,1,+
66644,55516,47720,361,73,1000,0,0,+,0,+,1,+
66645,55516,47720,361,72,1000,0,0,+,0,+,1,+
66646,55516,47720,361,71,1000,0,0,+,0,+,1,+
66647,55516,47720,361,78,1000,0,1,+,0,+,1,+
66790,55638,48279,13,62,0,0,0,+,0,+,0,+
66791,55638,48279,13,64,0,0,8,+,0,+,0,+
66792,55638,48279,13,329,0,0,48,+,0,+,0,+
66793,55638,48279,13,334,0,0,67,+,0,+,0,+
66794,55641,46107,361,79,1000,0,1,+,0,+,1,+
66795,55641,46107,361,77,1000,0,1,+,0,+,1,+
66796,55641,46107,361,75,1000,0,1,+,0,+,1,+
66797,55641,46107,361,76,1000,0,1,+,0,+,1,+
66798,55641,46107,361,74,1000,0,0,+,0,+,1,+
66799,55641,46107,361,73,1000,0,0,+,0,+,1,+
66800,55641,46107,361,72,1000,0,0,+,0,+,1,+
66801,55641,46107,361,71,1000,0,0,+,0,+,1,+
66802,55641,46107,361,78,1000,0,1,+,0,+,1,+
66825,55664,46143,361,79,1000,0,1,+,0,+,1,+
66826,55664,46143,361,77,1000,0,1,+,0,+,1,+
66827,55664,46143,361,75,1000,0,1,+,0,+,1,+
66828,55664,46143,361,76,1000,0,1,+,0,+,1,+
66829,55664,46143,361,74,1000,0,0,+,0,+,1,+
66830,55664,46143,361,73,1000,0,0,+,0,+,1,+
66831,55664,46143,361,72,1000,0,0,+,0,+,1,+
66832,55664,46143,361,71,1000,0,0,+,0,+,1,+
66833,55664,46143,361,78,1000,0,1,+,0,+,1,+
66841,55670,46147,361,79,1000,0,1,+,0,+,1,+
66842,55670,46147,361,77,1000,0,1,+,0,+,1,+
66843,55670,46147,361,75,1000,0,1,+,0,+,1,+
