product_image_id,product_id,image,sort_order,is_compress
88374,47795,catalog/products/big-sombrero-shirt-sombrero-custom-cinco-de-mayo-party-fiesta-party-tshirt-fiesta-party-outfit-custom-cinco-de-mayo-party-shirt-mexican-fiesta-t-shirt-fiesta-like-there-no-manana-a55335.jpg,5,0
88412,46719,catalog/Anne/black-pumpkin-halloween-invite-for-party-halloween-custom-party-printable-invitations-halloween-birthday-party-halloween-card-birthday-a55351.jpg,0,0
88413,46719,catalog/Anne/black-pumpkin-halloween-invite-for-party-halloween-custom-party-printable-invitations-halloween-birthday-party-halloween-card-birthday-a55352.jpg,1,0
88437,47761,catalog/products/boho-bridal-shower-photo-booth-frame-gypsy-wedding-photo-prop-bridal-shower-photo-booth-a57043.jpg,0,0
88438,47761,catalog/products/boho-bridal-shower-photo-booth-frame-gypsy-wedding-photo-prop-bridal-shower-photo-booth-a57044.jpg,1,0
88517,46427,catalog/products/custom-building-blocks-birthday-party-thank-you-cards-colorful-a58203.jpg,0,0
88518,46427,catalog/products/custom-building-blocks-birthday-party-thank-you-cards-colorful-a58204.jpg,1,0
88519,46427,catalog/products/custom-building-blocks-birthday-party-thank-you-cards-colorful-a58205.jpg,2,0
88524,47692,catalog/products/building-blocks-shirt-custom-birthday-shirt-custom-party-shirt-building-blocks-kids-birthday-shirt-custom-print-shirt-a57136.jpg,0,0
88525,47692,catalog/products/building-blocks-shirt-custom-birthday-shirt-custom-party-shirt-building-blocks-kids-birthday-shirt-custom-print-shirt-a57137.jpg,1,0
88526,47692,catalog/products/building-blocks-shirt-custom-birthday-shirt-custom-party-shirt-building-blocks-kids-birthday-shirt-custom-print-shirt-a57138.jpg,2,0
88527,47692,catalog/products/building-blocks-shirt-custom-birthday-shirt-custom-party-shirt-building-blocks-kids-birthday-shirt-custom-print-shirt-a57139.jpg,3,0
88528,47692,catalog/products/building-blocks-shirt-custom-birthday-shirt-custom-party-shirt-building-blocks-kids-birthday-shirt-custom-print-shirt-a57140.jpg,4,0
88529,47692,catalog/products/building-blocks-shirt-custom-birthday-shirt-custom-party-shirt-building-blocks-kids-birthday-shirt-custom-print-shirt-a57141.jpg,5,0
88676,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57246.jpg,0,0
88677,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57247.jpg,1,0
88678,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57248.jpg,2,0
88679,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57249.jpg,3,0
88680,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57250.jpg,4,0
88681,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57251.jpg,5,0
88682,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57252.jpg,6,0
88683,46658,catalog/products/chicago-city-shirt-united-state-t-shirt-illinois-party-shirt-chicago-lover-t-shirt-united-state-printed-shirt-a57253.jpg,7,0
88684,46658,,8,0
88734,48293,catalog/2019-11/8800019/8800019-36x24-RGB.jpg,0,0
88735,48293,catalog/products/BlackandGoldConfettiBabyShowerSignBlackandGoldDecorBabyAnnouncementSignGoldConfettiDecorChalkboardDecorSize36x2424x182.jpg,1,0
88736,48293,catalog/products/BlackandGoldConfettiBabyShowerSignBlackandGoldDecorBabyAnnouncementSignGoldConfettiDecorChalkboardDecorSize36x2424x183.jpg,2,0
88765,46950,catalog/1aaa/cinco-de-mayo-photobooth-props-mexican-fiesta-selfie-photo-props-a57287.jpg,0,0
88898,46891,catalog/1aaa/aaa1/1aa/cops-robbers-birthday-photobooth-props-police-officer-birthday-photo-props-a57417.jpg,0,0
88947,47744,catalog/products/crazy-sisters-make-the-best-aunts-shirt-sister-shirts-best-aunt-aunt-shirts-cool-aunt-shirt-a57441.jpg,0,0
88948,47744,catalog/products/crazy-sisters-make-the-best-aunts-shirt-sister-shirts-best-aunt-aunt-shirts-cool-aunt-shirt-a57442.jpg,1,0
88949,47744,catalog/products/crazy-sisters-make-the-best-aunts-shirt-sister-shirts-best-aunt-aunt-shirts-cool-aunt-shirt-a57443.jpg,2,0
88950,47744,catalog/products/crazy-sisters-make-the-best-aunts-shirt-sister-shirts-best-aunt-aunt-shirts-cool-aunt-shirt-a57444.jpg,3,0
88967,46379,catalog/products/custom-wedding-anniversary-invitation-thank-you-card-50th-golden-anniversary-a57459.jpg,0,0
88968,46379,catalog/products/custom-wedding-anniversary-invitation-thank-you-card-50th-golden-anniversary-a57460.jpg,1,0
88978,46406,catalog/products/custom-25th-wedding-anniversary-invitation-thank-you-card-silver-anniversary-a57469.jpg,0,0
