option_value_id,language_id,option_id,name
388,1,1849,Wooden
389,1,2700,24x24
390,1,2700,36x36
391,1,2701,24&quot;
392,1,2701,36&quot;
393,1,2702,Black
394,1,2702,Navy Blue
395,1,2704,Gold
396,1,2704,Silver
397,1,2705,Gold
398,1,2705,Silver
399,1,2706,Gold
400,1,2706,Silver
401,1,2383,23.5 x 22.5
402,1,955,Burgundy
403,1,955,Navy Blue
404,1,13,24x18 3/8&quot; PVC Weatherproof
405,1,13,36x24 3/8&quot; PVC Weatherproof
406,1,2383,34.5x18 
407,1,2383,46x27.5 
408,1,2383,34.5x20.5 
409,1,2383,47x28 
410,1,2767,Mirror Acrylic Gold 31x23.5 Inches
411,1,2767,Pvc Black Sintra Board 45x33 Inches
412,1,2767,Pvc Black Sintra Board 31x23.5 Inches
413,1,2767,Pvc White Sintra Board 45x33 Inches
414,1,2767,Pvc White Sintra Board 31x23.5 Inches
415,1,2383,31x23.5 
416,1,2383,45x33 
417,1,2767,Mirror Acrylic Gold 45x33 Inches
418,1,2767,Mirror Acrylic Rose Gold 31x23.5 Inches
419,1,2767,Mirror Acrylic Rose Gold 45x33 Inches
420,1,2767,Mirror Acrylic Silver 31x23.5 Inches
421,1,2767,Mirror Acrylic Silver 45x33 Inches
422,1,2767,Mirror Acrylic Blue 31x23.5 Inches
423,1,2767,Mirror Acrylic Blue 45x33 Inches
424,1,955,Wood
425,1,13,24x18 Poster Only
435,1,2701,11x8.5 Photo Poster Only
436,1,2701,24x18 Photo Poster Only
437,1,2701,36x24 Photo Poster Only
438,1,2701,48x36 Photo Poster Only
439,1,2701,11x8.5 Self Adhesive Poster
440,1,2701,24x18 Self Adhesive Poster
441,1,2701,36x24 Self Adhesive Poster
442,1,2701,11x8.5 Sturdy Foam Board
443,1,2701,24x18 Sturdy Foam Board
444,1,2701,36x24 Sturdy Foam Board
445,1,2701,48x24 Sturdy Foam Board
446,1,2701,36x24 Sturdy Foam Board
447,1,2701,48x36 Sturdy Foam Board
448,1,1477,34x13 Foam Board Indoor Only
449,1,1477,34x13 3/18&quot; PVC Weatherproof
450,1,1477,45x16.5 Foam Board Indoor Only
469,1,1477,12 x 12 Inches
470,1,1477,24 x 12 Inches
471,1,1477,24 x 24 Inches
472,1,1477,36 x 12 Inches
473,1,1477,36 x 24 Inches
474,1,1477,36 x 36 Inches
475,1,1477,48 x 12 Inches
476,1,1477,48 x 24 Inches
477,1,1477,48 x 36 Inches
478,1,1477,12 x 12 Inches (Round Corners)
479,1,1477,24 x 12 Inches (Round Corners)
480,1,1477,36 x 12 Inches (Round Corners)
481,1,1477,48 x12 Inches (Round Corners)
482,1,1477,24 x 24 Inches (Round Corners)
483,1,1477,36 x 24 Inches (Round Corners)
484,1,1477,48 x 24 Inches (Round Corners)
485,1,1477,36 x 36 Inches (Round Corners)
486,1,1477,48 x 36 Inches (Round Corners)
487,1,1477,48 x 67 Inches (Round Corners)
488,1,1477,48 x 67 Inches
489,1,2383,31.5&quot;W x 19.7&quot;H (80W x 50H cm)
490,1,2383,29.5&quot;W x 23.6&quot;H (75W x 60H cm)
491,1,2383,39.4&quot;W x 22.8&quot;H (100W x 58H cm)
492,1,2383,39.4&quot;W x 31.5&quot;H (100W x 80H cm)
493,1,2383,120 x 90 cm 
494,1,2383,140 x 90 cm
495,1,1477,30 x 21 Inches
496,1,1477,30 x 26 Inches
497,1,2383,30 W x 21 H in
