Group,Zip Code,Delivery Time,Package,Price
Delaware,19971,nextday,26x27x1 5lb packages small MOUNTED,31.74
Delaware,19971,ground,50x38x1 7lb packages huge MOUNTED,22.67
Delaware,19971,3day,50x38x1 7lb packages huge MOUNTED,29.90
Delaware,19971,2nd,50x38x1 7lb packages huge MOUNTED,34.61
Delaware,19971,nextday,50x38x1 7lb packages huge MOUNTED,67.10
Vermont,5829,ground,26x3x3 1lb packages poster,11.16
Vermont,5829,3day,26x3x3 1lb packages poster,13.03
Vermont,5829,2nd,26x3x3 1lb packages poster,13.71
Vermont,5829,nextday,26x3x3 1lb packages poster,26.89
Vermont,5829,ground,36x3x3 3lb packages poster,11.16
Vermont,5829,3day,36x3x3 3lb packages poster,13.03
Vermont,5829,2nd,36x3x3 3lb packages poster,13.71
Vermont,5829,nextday,36x3x3 3lb packages poster,30.48
Vermont,5829,ground,26x27x1 5lb packages small MOUNTED,11.16
Vermont,5829,3day,26x27x1 5lb packages small MOUNTED,13.03
Vermont,5829,2nd,26x27x1 5lb packages small MOUNTED,14.75
Vermont,5829,nextday,26x27x1 5lb packages small MOUNTED,33.49
Vermont,5829,ground,50x38x1 7lb packages huge MOUNTED,24.32
Vermont,5829,3day,50x38x1 7lb packages huge MOUNTED,31.66
Vermont,5829,2nd,50x38x1 7lb packages huge MOUNTED,36.36
Vermont,5829,nextday,50x38x1 7lb packages huge MOUNTED,68.84
Georgia Northern,30513,ground,26x3x3 1lb packages poster,11.16
Georgia Northern,30513,3day,26x3x3 1lb packages poster,13.03
Georgia Northern,30513,2nd,26x3x3 1lb packages poster,13.71
Georgia Northern,30513,nextday,26x3x3 1lb packages poster,24.56
Georgia Northern,30513,ground,36x3x3 3lb packages poster,11.16
Georgia Northern,30513,3day,36x3x3 3lb packages poster,13.03
Georgia Northern,30513,2nd,36x3x3 3lb packages poster,13.71
Georgia Northern,30513,nextday,36x3x3 3lb packages poster,27.01
Georgia Northern,30513,ground,26x27x1 5lb packages small MOUNTED,11.16
Georgia Northern,30513,3day,26x27x1 5lb packages small MOUNTED,13.03
Georgia Northern,30513,2nd,26x27x1 5lb packages small MOUNTED,13.71
Georgia Northern,30513,nextday,26x27x1 5lb packages small MOUNTED,30.61
Georgia Northern,30513,ground,50x38x1 7lb packages huge MOUNTED,23.26
Georgia Northern,30513,3day,50x38x1 7lb packages huge MOUNTED,26.58
Georgia Northern,30513,2nd,50x38x1 7lb packages huge MOUNTED,28.81
Georgia Northern,30513,nextday,50x38x1 7lb packages huge MOUNTED,59.57
Georgia Southern,31601,ground,26x3x3 1lb packages poster,9.49
Georgia Southern,31601,3day,26x3x3 1lb packages poster,11.29
Georgia Southern,31601,2nd,26x3x3 1lb packages poster,11.96
Georgia Southern,31601,nextday,26x3x3 1lb packages poster,25.14
Georgia Southern,31601,ground,36x3x3 3lb packages poster,9.49
Georgia Southern,31601,3day,36x3x3 3lb packages poster,11.29
Georgia Southern,31601,2nd,36x3x3 3lb packages poster,11.97
Georgia Southern,31601,nextday,36x3x3 3lb packages poster,2.74
Georgia Southern,31601,ground,26x27x1 5lb packages small MOUNTED,9.48
Georgia Southern,31601,3day,26x27x1 5lb packages small MOUNTED,11.29
Georgia Southern,31601,2nd,26x27x1 5lb packages small MOUNTED,13.01
Georgia Southern,31601,nextday,26x27x1 5lb packages small MOUNTED,31.74
Georgia Southern,31601,ground,50x38x1 7lb packages huge MOUNTED,22.67
Georgia Southern,31601,3day,50x38x1 7lb packages huge MOUNTED,29.90
Georgia Southern,31601,2nd,50x38x1 7lb packages huge MOUNTED,34.61
Georgia Southern,31601,nextday,50x38x1 7lb packages huge MOUNTED,67.10
Texas Western,79907,ground,26x3x3 1lb packages poster,9.49
Texas Western,79907,3day,26x3x3 1lb packages poster,11.29
Texas Western,79907,2nd,26x3x3 1lb packages poster,11.96
Texas Western,79907,nextday,26x3x3 1lb packages poster,25.89
Texas Western,79907,ground,36x3x3 3lb packages poster,9.48
Texas Western,79907,3day,36x3x3 3lb packages poster,11.65
Texas Western,79907,2nd,36x3x3 3lb packages poster,13.34
Texas Western,79907,nextday,36x3x3 3lb packages poster,30.89
Texas Western,79907,ground,26x27x1 5lb packages small MOUNTED,9.48
Texas Western,79907,3day,26x27x1 5lb packages small MOUNTED,13.75
Texas Western,79907,2nd,26x27x1 5lb packages small MOUNTED,17.18
Texas Western,79907,nextday,26x27x1 5lb packages small MOUNTED,32.91
Texas Western,79907,ground,50x38x1 7lb packages huge MOUNTED,23.05
Texas Western,79907,3day,50x38x1 7lb packages huge MOUNTED,36.23
Texas Western,79907,2nd,50x38x1 7lb packages huge MOUNTED,44.64
Texas Western,79907,nextday,50x38x1 7lb packages huge MOUNTED,69.81
Texas Eastern,77705,ground,26x3x3 1lb packages poster,9.49
Texas Eastern,77705,3day,26x3x3 1lb packages poster,11.29
Texas Eastern,77705,2nd,26x3x3 1lb packages poster,11.96
Texas Eastern,77705,nextday,26x3x3 1lb packages poster,25.14
Texas Eastern,77705,ground,36x3x3 3lb packages poster,9.49
Texas Eastern,77705,3day,36x3x3 3lb packages poster,11.29
Texas Eastern,77705,2nd,36x3x3 3lb packages poster,11.97
Texas Eastern,77705,nextday,36x3x3 3lb packages poster,28.74
Texas Eastern,77705,ground,26x27x1 5lb packages small MOUNTED,9.48
Texas Eastern,77705,3day,26x27x1 5lb packages small MOUNTED,11.29
